"sentence","sentence_fixed","head","tail","rel_head_tail","rel_tail_head"
"The billionaire v.c. was Trump’s biggest Silicon Valley backer in 2016, but more importantly, many of Trump’s allies have deep ties to Thiel or are his acolytes.","Peter Thiel, the billionaire v.c., was Trump’s biggest Silicon Valley backer in 2016, but more importantly, many of Trump’s allies have deep ties to Thiel or are his acolytes.",Peter Thiel,Trump,positive,positive
"The billionaire v.c. was Trump’s biggest Silicon Valley backer in 2016, but more importantly, many of Trump’s allies have deep ties to Thiel or are his acolytes.","Peter Thiel, the billionaire v.c., was Trump’s biggest Silicon Valley backer in 2016, but more importantly, many of Trump’s allies have deep ties to Thiel or are his acolytes.",Thiel,Trump’s allies,positive,positive
"JD Vance is a Thiel protégé, and Thiel is close with other Trump associates like Musk and Vivek Ramaswamy.","JD Vance is a Thiel protégé, and Thiel is close with other Trump associates like Musk and Vivek Ramaswamy.",Peter Thiel,JD Vance,positive,positive
"JD Vance is a Thiel protégé, and Thiel is close with other Trump associates like Musk and Vivek Ramaswamy.","JD Vance is a Thiel protégé, and Thiel is close with other Trump associates like Musk and Vivek Ramaswamy.",Peter Thiel,Musk,positive,positive
"JD Vance is a Thiel protégé, and Thiel is close with other Trump associates like Musk and Vivek Ramaswamy.","JD Vance is a Thiel protégé, and Thiel is close with other Trump associates like Musk and Vivek Ramaswamy.",Peter Thiel,Vivek Ramaswamy,positive,positive
"His relationship with David Sacks—from mentor to co-author to co-founder of PayPal—goes back decades.","Peter Thiel’s relationship with David Sacks—from mentor to co-author to co-founder of PayPal—goes back decades.",Peter Thiel,David Sacks,positive,positive
"Thiel isn’t taking a formal Trump administration job, and he and Trump reportedly had a falling-out over donations in 2023.","Thiel isn’t taking a formal Trump administration job, and he and Trump reportedly had a falling-out over donations in 2023.",Thiel,Trump,negative,negative
"But his influence over this White House—through all of his connections—should be massive.","But Peter Thiel’s influence over this White House—through all of his connections—should be massive.",Peter Thiel,White House,neutral/positive,positive
"(Net worth: $16.9 billion.)","(Net worth: $16.9 billion.)",none,none,none,none
"The vice president has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.","JD Vance has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.",JD Vance,Trump,positive,none
"The vice president has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.","JD Vance has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.",JD Vance,U.S. allies,negative,negative
"The vice president has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.","JD Vance has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.",JD Vance,Senate GOP,neutral,neutral
"He also grabbed headlines by taking aim at judges who rule against Trump.","JD Vance also grabbed headlines by taking aim at judges who rule against Trump.",JD Vance,Trump,positive,none
"He also grabbed headlines by taking aim at judges who rule against Trump.","JD Vance also grabbed headlines by taking aim at judges who rule against Trump.",JD Vance,judges who rule against Trump,negative,none
"He’s widely seen as Trump’s possible MAGA successor.","JD Vance’s widely seen as Trump’s possible MAGA successor.",JD Vance,Trump,positive,positive
"(Net worth: Around $10 million.)","(Net worth: Around $10 million.)",none,none,none,none
"The White House “border czar” is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.","Tom Homan is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.",Tom Homan,Trump,positive,none
"The White House “border czar” is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.","Tom Homan is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.",Tom Homan,Miller,positive,none
"The White House “border czar” is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.","Tom Homan is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the Trump administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.",Tom Homan,Trump administration,positive,positive
"Leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.","Russell Vought leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.",Russell Vought,Trump,neutral,neutral
"Leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.","Russell Vought leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.",Russell Vought,Musk,neutral,neutral
"Leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.","Russell Vought leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.",Russell Vought,Office of Management and Budget,positive,neutral
"He believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.","Russell Vought believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.",Russell Vought,Trump,positive,none
"He believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.","Russell Vought believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.",Russell Vought,Congress,negative,none
"He believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.","Russell Vought believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.",Trump,Congress,negative,negative
"Trump’s secretary of state is a leading Trump Yes Man in early foreign policy moves: Talks with Russia over the Ukraine war, the proposed Gaza takeover and even a longshot push to buy Greenland.","Marco Rubio is a leading Trump Yes Man in early foreign policy moves: Talks with Russia over the Ukraine war, the proposed Gaza takeover and even a longshot push to buy Greenland.",Marco Rubio,Trump,positive,positive/none?
"Trump’s secretary of state is a leading Trump Yes Man in early foreign policy moves: Talks with Russia over the Ukraine war, the proposed Gaza takeover and even a longshot push to buy Greenland.","Marco Rubio is a leading Trump Yes Man in early foreign policy moves: Talks with Russia over the Ukraine war, the proposed Gaza takeover and even a longshot push to buy Greenland.",Marco Rubio,Russia,neutral,neutral
"He’s an Iran and China hawk, though he’s vowed to back “whatever the president’s policies are.”","Marco Rubio is an Iran and China hawk, though he’s vowed to back “whatever Donald Trump’s policies are.”",Marco Rubio,Donald Trump,positive,none
"He’s an Iran and China hawk, though he’s vowed to back “whatever the president’s policies are.”","Marco Rubio is an Iran and China hawk, though he’s vowed to back “whatever Donald Trump’s policies are.”",Marco Rubio,Iran,negative,none
"He’s an Iran and China hawk, though he’s vowed to back “whatever the president’s policies are.”","Marco Rubio is an Iran and China hawk, though he’s vowed to back “whatever Donald Trump’s policies are.”",Marco Rubio,China,negative,none
"(Net worth: Over $1 million.)","(Net worth: Over $1 million.)",none,none,none,none
"Cantor Fitzgerald CEO and a longtime Trump friend, Lutnick was nominated Commerce Secretary, and he’s a regular presence at Mar-A-Lago and at Trump events.","Howard Lutnick, Cantor Fitzgerald CEO and a longtime Trump friend, Lutnick was nominated Commerce Secretary, and he’s a regular presence at Mar-A-Lago and at Trump events.",Howard Lutnick,Trump,positive,positive
"Cantor Fitzgerald CEO and a longtime Trump friend, Lutnick was nominated Commerce Secretary, and he’s a regular presence at Mar-A-Lago and at Trump events.","Howard Lutnick, Cantor Fitzgerald CEO and a longtime Trump friend, Lutnick was nominated Commerce Secretary, and he’s a regular presence at Mar-A-Lago and at Trump events.",Howard Lutnick,Cantor Fitzgerald,positive,neutral
"He wanted Treasury, but Trump reportedly grew tired of his campaigning.","Howard Lutnick wanted Treasury, but Trump reportedly grew tired of his campaigning.",Howard Lutnick,Trump,none,negative
"(Net worth: Over $1.5 billion.)","(Net worth: Over $1.5 billion.)",none,none,none,none
"Deemed his father's “loyalty scanner,” he’s the only Trump child regularly in the mix.","Deemed his father's “loyalty scanner,” Donald Trump Jr. is the only Trump child regularly in the mix.",Donald Trump Jr.,Trump,positive,positive
"He describes his role as ensuring “bad actors are not getting into the administration,” and championed Vance for V.P.","Donald Trump Jr. describes his role as ensuring “bad actors are not getting into the administration,” and championed Vance for V.P.",Donald Trump Jr.,Vance,positive,none
"He describes his role as ensuring “bad actors are not getting into the administration,” and championed Vance for V.P.","Donald Trump Jr. describes his role as ensuring “bad actors are not getting into the Trump administration,” and championed Vance for V.P.",Donald Trump Jr.,Trump administration,neutral,neutral
"He’s not taking a formal role, instead joining prediction site Kalshi and a MAGA-leaning v.c. firm.","Donald Trump Jr. is not taking a formal role, instead joining prediction site Kalshi and a MAGA-leaning v.c. firm.",Donald Trump Jr.,Kalshi,neutral,neutral
"He’s not taking a formal role, instead joining prediction site Kalshi and a MAGA-leaning v.c. firm.","Donald Trump Jr. is not taking a formal role, instead joining prediction site Kalshi and a MAGA-leaning v.c. firm.",Donald Trump Jr.,MAGA-leaning v.c. firm,neutral,neutral
"(Net worth: $50 million).","(Net worth: $50 million).",none,none,none,none
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.","In one of Trump’s first big victories, Pete Hegseth —a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Pete Hegseth,Trump,positive,positive
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.","In one of Trump’s first big victories, Pete Hegseth —a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Pete Hegseth,Senate,none,positive/neutral?mixed
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.","In one of Trump’s first big victories, Pete Hegseth —a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Trump,Senate,neutral,positive
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.","In one of Trump’s first big victories, Pete Hegseth —a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Pete Hegseth,Fox News,neutral,neutral
"The hedge fund exec was easily confirmed as Treasury secretary, but Musk has gained access to the agency’s payment system with little pushback, making Bessent’s power unclear.","Scott Bessent was easily confirmed as Treasury secretary, but Musk has gained access to the agency’s payment system with little pushback, making Bessent’s power unclear.",Scott Bessent,Musk,neutral/negative,neutral
"Trump’s sweeping tariff plans could also clash with Bessent, who’s called for more gradual tariffs.","Trump’s sweeping tariff plans could also clash with Bessent, who’s called for more gradual tariffs.",Trump,Bessent,neutral/negative,neutral/negative
"He won the job after Musk criticized him as a “business-as-usual choice,” but has Wall Street’s approval.","Scott Bessent won the job after Musk criticized him as a “business-as-usual choice,” but has Wall Street’s approval.",Scott Bessent,Musk,none,negative
"He won the job after Musk criticized him as a “business-as-usual choice,” but has Wall Street’s approval.","Scott Bessent won the job after Musk criticized him as a “business-as-usual choice,” but has Wall Street’s approval.",Scott Bessent,Wall Street,none,positive
"She was confirmed for attorney general without much of a fight, and is already spearheading legal battles against Democratic states’ immigration policies.","Pam Bondi was confirmed for attorney general without much of a fight, and is already spearheading legal battles against Democratic states’ immigration policies.",Pam Bondi,Democratic states,negative,neagtive
"A big-time Trump ally and former Florida AG, Bondi represented Trump in his first impeachment, signaling he wants a loyalist to helm the Justice Department.","A big-time Trump ally and former Florida AG, Bondi represented Trump in his first impeachment, signaling he wants a loyalist to helm the Justice Department.",Bondi,Trump,positive,positive
"A big-time Trump ally and former Florida AG, Bondi represented Trump in his first impeachment, signaling he wants a loyalist to helm the Justice Department.","A big-time Trump ally and former Florida AG, Bondi represented Trump in his first impeachment, signaling he wants a loyalist to helm the Justice Department.",Trump,Justice Department,neutral/none,neutral/none
"A big-time Trump ally and former Florida AG, Bondi represented Trump in his first impeachment, signaling he wants a loyalist to helm the Justice Department.","A big-time Trump ally and former Florida AG, Bondi represented Trump in his first impeachment, signaling he wants a loyalist to helm the Justice Department.",Bondi,Florida AG,neutral,neutral
"Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.","Trump FBI director Kash Patel—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.",Kash Patel,Trump,positive,positive
"Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.","Trump FBI director Kash Patel—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.",Kash Patel,FBI,positive,neutral
"Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.","Trump FBI director Kash Patel—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.",Kash Patel,Senate,none,positive
"Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.","Trump FBI director Kash Patel—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.",Kash Patel,Trump’s supposed enemies,negative,none
"One of Patel’s first moves was telling FBI staff not to respond to an email from Musk’s team demanding info on what they did over the last week, suggesting he’s intent on running the FBI himself.","One of Patel’s first moves was telling FBI staff not to respond to an email from Musk’s team demanding info on what they did over the last week, suggesting he’s intent on running the FBI himself.",Patel,FBI staff,neutral,neutral
"One of Patel’s first moves was telling FBI staff not to respond to an email from Musk’s team demanding info on what they did over the last week, suggesting he’s intent on running the FBI himself.","One of Patel’s first moves was telling FBI staff not to respond to an email from Musk’s team demanding info on what they did over the last week, suggesting he’s intent on running the FBI himself.",Patel,Musk’s team,negative,none
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.","Trump’s Education secretary nominee, Linda McMahon co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",Linda McMahon,Trump,positive,positive
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.","Trump’s Education secretary nominee, Linda McMahon co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",Linda McMahon,Vince,positive,positive
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.","Trump’s Education secretary nominee, Linda McMahon co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",Linda McMahon,WWE,neutral,none
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.","Trump’s Education secretary nominee, Linda McMahon co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",Vince,WWE,neutral,none
"She runs the MAGA-inspired America First Policy Institute think tank.","Linda McMahon runs the MAGA-inspired America First Policy Institute think tank.",Linda McMahon,America First Policy Institute,positive,neutral
"(Vince McMahon’s net worth: About $3.2 billion.)","(Vince McMahon’s net worth: About $3.2 billion.)",Vince McMahon,none,none,none
"Trump’s son-in-law told Forbes he may advise Trump informally, but so far, his influence is not apparent—though some see his hand in Trump’s dream of turning Gaza into the “riviera of the Middle East” (Kushner controversially suggested something like that last year).","Trump’s son-in-law, Jared Kushner, told Forbes he may advise Trump informally, but so far, his influence is not apparent—though some see his hand in Trump’s dream of turning Gaza into the “riviera of the Middle East” (Kushner controversially suggested something like that last year).",Jared Kushner,Trump,positive,positive
"Trump’s son-in-law told Forbes he may advise Trump informally, but so far, his influence is not apparent—though some see his hand in Trump’s dream of turning Gaza into the “riviera of the Middle East” (Kushner controversially suggested something like that last year).","Trump’s son-in-law, Jared Kushner, told Forbes he may advise Trump informally, but so far, his influence is not apparent—though some see his hand in Trump’s dream of turning Gaza into the “riviera of the Middle East” (Kushner controversially suggested something like that last year).",Jared Kushner,Forbes,neutral,neutral
"He advised Lutnick and may assist more with Middle East diplomacy.","Jared Kushner advised Lutnick and may assist more with Middle East diplomacy.",Jared Kushner,Lutnick,neutral,neutral
"(Net worth: Just under $1 billion.)","(Net worth: Just under $1 billion.)",none,none,none,none
"Trump’s Health and Human Services secretary made it through the Senate despite his history as vaccine skeptic whose views alarm a lot of experts.","Trump’s Health and Human Services secretary, Robert F. Kennedy Jr., made it through the Senate despite his history as vaccine skeptic whose views alarm a lot of experts.",Robert F. Kennedy Jr.,Trump,neutral,positive
"Trump’s Health and Human Services secretary made it through the Senate despite his history as vaccine skeptic whose views alarm a lot of experts.","Trump’s Health and Human Services secretary, Robert F. Kennedy Jr., made it through the Senate despite his history as vaccine skeptic whose views alarm a lot of experts.",Robert F. Kennedy Jr.,Senate,none,positive
"He’s also had to apologize for comparing Trump fans to Nazis.","Robert F. Kennedy Jr. has also had to apologize for comparing Trump fans to Nazis.",Robert F. Kennedy Jr.,Trump fans,negative,none
"(Net worth: about $15 million.)","(Net worth: about $15 million.)",none,none,none,none
"The UFC kingpin got a prime seat at Trump’s inauguration, and he’ll serve on Meta’s board, likely making him Trump’s envoy to the social media giant.","Dana White got a prime seat at Trump’s inauguration, and he’ll serve on Meta’s board, likely making him Trump’s envoy to the social media giant.",Dana White,Trump,positive,positie
"The UFC kingpin got a prime seat at Trump’s inauguration, and he’ll serve on Meta’s board, likely making him Trump’s envoy to the social media giant.","Dana White got a prime seat at Trump’s inauguration, and he’ll serve on Meta’s board, likely making him Trump’s envoy to the social media giant.",Dana White,Meta,neutral,neutral
"White and Trump’s decades-long friendship stretches back to when Trump hosted UFC fights at his Atlantic City casino.","White and Trump’s decades-long friendship stretches back to when Trump hosted UFC fights at his Atlantic City casino.",White,Trump,positive,positive
"A v.c. giant worth $1.8 billion, he has described himself as an “unpaid volunteer” for DOGE and said he spent about half his time post-Election Day at or near Mar-A-Lago, often helping to screen job candidates.","Marc Andreessen a v.c. giant worth $1.8 billion has described himself as an “unpaid volunteer” for DOGE and said he spent about half his time post-Election Day at or near Mar-A-Lago, often helping to screen job candidates.",Marc Andreessen,DOGE,positive,neutral
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.","Marc Andreessen has also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Marc Andreessen,Trump,positive,neutral/positive
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.","Marc Andreessen has also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Marc Andreessen,big news outlets,neutral,none
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.","Marc Andreessen has also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Marc Andreessen,Silicon Valley Democrats,neutral,none
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.","Marc Andreessen has also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Trump,Silicon Valley Democrats,none,positive
"The Silicon Valley v.c. and friend of Musk’s will serve as Trump's “AI and crypto czar,” after fundraising for Trump in San Francisco, boosting the president-elect on his influential “All In” podcast and spending election night at Mar-A-Lago.","David Sacks, the Silicon Valley v.c. and friend of Musk’s will serve as Trump's “AI and crypto czar,” after fundraising for Trump in San Francisco, boosting the president-elect on his influential “All In” podcast and spending election night at Mar-A-Lago.",David Sacks,Trump,positive,positive
"The Silicon Valley v.c. and friend of Musk’s will serve as Trump's “AI and crypto czar,” after fundraising for Trump in San Francisco, boosting the president-elect on his influential “All In” podcast and spending election night at Mar-A-Lago.","David Sacks, the Silicon Valley v.c. and friend of Musk’s will serve as Trump's “AI and crypto czar,” after fundraising for Trump in San Francisco, boosting the president-elect on his influential “All In” podcast and spending election night at Mar-A-Lago.",David Sacks,Musk,positive,positive
"A longtime adviser, his stock surely fell after Trump’s attorneys launched an investigation for allegedly seeking payments from jobseekers, like Bessent, which Epshteyn denies.","Boris Epshteyn, a longtime adviser, his stock surely fell after Trump’s attorneys launched an investigation for allegedly seeking payments from jobseekers, like Bessent, which Epshteyn denies.",Boris Epshteyn,Trump’s attorneys,negative,negative
"A longtime adviser, his stock surely fell after Trump’s attorneys launched an investigation for allegedly seeking payments from jobseekers, like Bessent, which Epshteyn denies.","Boris Epshteyn, a longtime adviser, his stock surely fell after Trump’s attorneys launched an investigation for allegedly seeking payments from jobseekers, like Bessent, which Epshteyn denies.",Boris Epshteyn,Bessent,neutral,negative
"But Trump shared an article praising his “loyalty”—suggesting he’s still in the president-elect’s good graces.","But Trump shared an article praising Boris Epshteyn's “loyalty”—suggesting he’s still in the president-elect’s good graces.",Boris Epshteyn,Trump,none,positive
"(He and Musk are reported rivals.)","(Boris Epshteyn and Musk are reported rivals.)",Boris Epshteyn,Musk,negative,negative
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.","Vivek Ramaswamy, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,Trump,negative,negative
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.","Vivek Ramaswamy, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,Trump allies,negative,negative
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.","Vivek Ramaswamy, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,DOGE,negative,negative?
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.","Vivek Ramaswamy, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,Musk,negative/none?,negative
"He’s expected to run for governor of Ohio next","Vivek Ramaswamy is expected to run for governor of Ohio next",Vivek Ramaswamy,Ohio,positive,none
"Trump chose the Democrat-turned-Trump backer for director of national intelligence, and she reportedly sat in on transition meetings.","Trump chose the Democrat-turned-Trump backer Tulsi Gabbard for director of national intelligence, and she reportedly sat in on transition meetings.",Tulsi Gabbard,Trump,positive,positive
"Trump chose the Democrat-turned-Trump backer for director of national intelligence, and she reportedly sat in on transition meetings.","Trump chose the Democrat-turned-Trump backer Tulsi Gabbard for director of national intelligence, and she reportedly sat in on transition meetings.",Tulsi Gabbard,national intelligence,neutral,neutral
"But she’s controversial for her comments on Russia and Syria.","But Tulsi Gabbard is controversial for her comments on Russia and Syria.",Tulsi Gabbard,Russia,neutral?,none
"But she’s controversial for her comments on Russia and Syria.","But Tulsi Gabbard is controversial for her comments on Russia and Syria.",Tulsi Gabbard,Syria,neutral?,none
"The bombastic podcaster and Turning Point USA founder played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.","The bombastic podcaster and Turning Point USA founder Charlie Kirk played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.",Charlie Kirk,Trump,positive,positive
