sentence;head;tail;relation
According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.;Emin Agalarov;Murad;positive2
Throughout the 2016 U.S. presidential campaign, RT and Sputnik used their social media accounts to push WikiLeaks-related content that disparaged Hillary Clinton.;RT;Hillary Clinton;negative1
X- Tunnel was a hacking tool that created an encrypted connection between the victim DCCC/DNC computers and GRU-controlled computers outside the DCCC and DNC networks that was capable of large-scale data transfers.;GRU;DNC;negative1
However, Corsi said that Stone was concerned about having advance information about the Podesta release, and that Stone recruited Corsi to make sure no one knew Stone had advance knowledge of that information.;Stone;Corsi;negative1
The Carter Page went off topic with effusive praise for Russian President Vladimir Putin and Trump.;Carter PAGE;Vladimir PUTIN;positive1
Carter Page set up Global Energy Capital, which is around the corner from Trump Tower.;Carter PAGE;Global Energy Capital;neutral1
Martafort claimed that Kilimnik came to Madrid to update him on the work of the National Anti-Corruption Bureau related to the ledger;Kilimnik;Martafort;positive1
“I really want to thank Steve Bannon for trying to step in,” Manafort said.;Manafort;Steve Bannon;positive1
DC Leak Account is ready to support WikiLeaks.;DC Leak Account;WikiLeaks;positive1
The Jarvanka side believed that Bannon was the source.;Jarvanka;Bannon;neutral1
Manafort responded by instructing Kilimnik to 'tell V boss that if he needs private briefings we can accommodate.';Manafort;Kilimnik;neutral1
Issues related to Manafort's historical involvement with Deripaska and the PoR continued through Manafort's entry into the Trump Campaign in 2016.;Manafort;Deripaska;negative1
Throughout the 2016 U.S. presidential campaign, RT and Sputnik used their social media accounts to push WikiLeaks-related content that disparaged Hillary Clinton.;Sputnik;WikiLeaks;positive1
On April 22, 2016, the GRU copied files from the DNC network to GRU-controlled computers.;GRU;DNC;negative1
"In an email to Patten responding to the public revelation of Kilimnik's campaign correspondence with Manafort, Kilimnik suggested that the Russians were ""idiots"" who were ""too disorganized"" to conduct such interference and that they ""distrusted"" Manafort too much to use him in any election meddling.";Russia;Manafort;negative1
McFaul, who reviewed Page’s early July speech in Moscow, said he disagreed with the content and added that he knew of no precedent for a presidential campaign adviser publicly criticizing U.S. policy in a foreign capital.;McFaul;Page;negative1
According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.;Keith Schiller;Emin Agalarov;neutral2
On September 2, 2016, Smith directed a business associate to establish KLS Research LLC in furtherance of his search for the deleted Clinton emails.;Smith;KLS Research LLC;neutral1
At the time, Stone said he did not know what else would come out or when, but he agreed to follow up, although he did not say when he would do so.;Stone;WikiLeaks;none
The investigation also established that the Trump Campaign displayed interest in the WikiLeaks releases, and that [];Trump Campaign;WikiLeaks;neutral1
"""Gov. Newsom deserves an A plus, right along with the governor of Washington state, and Andrew Cuomo,"" Eshoo said. ""This has become a self-help undertaking, and that should not be the case.... I think he has risen to the occasion.""";Eshoo;Andrew Cuomo;positive1
Representing the status quo—and, ideally, a surge on top of the status quo—was H. R. McMaster, who, next to Jarvanka, had become Bannon’s prime target for abuse.;Bannon;H. R. McMaster;negative1
According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.;Olivia Culpo;Michael Cohen;neutral2
Mr Trump stoked Mr Trump enmity for Mrs Clinton during the campaign, suggesting during a presidential debate that Mr Trump would prosecute Mrs Clinton if Mr Trump was elected president.;Trump;Clinton;negative1
Since Roger Stone was all over national TV, cable and print defending wikileaks and assange against the claim that you are Russian agents and debunking the false charges of sexual assault as trumped up bs you may want to rexamine [sic] the strategy of attacking Roger Stone.;Roger Stone;Assange;positive1
"Shugart recalled that Trump told her she was ""finally introducing him to the people he needed to be meeting.""";Trump;Shugart;neutral1
In June 2014, four IRA employees applied to the U.S. Department of State to enter the United States, while lying about the purpose of their trip and claiming to be four friends who had met at a party.;IRA employees;U.S. Department of State;negative1
It was another reason for Trump to distrust and hate the FBI, a pernicious tease that left them dangling.;Trump;the FBI;negative1
Gates stated that Kilimnik was well connected in Russia and Ukraine and could obtain information easily.;Kilimnik;Russia;neutral1
According to Gates, the Ukrainian oligarchs, particularly Akhmetov and Lyovochkin, continued to owe Manafort approximately $2.4 million.;Akhmetov;Manafort;negative1
"Later on June 24, Shugart responded to Graffs email, writing, ""I have no idea, I'm finding out now.""";Shugart;Graff;neutral1
IRA-purchased advertisements referencing candidate Trump largely supported his campaign.;IRA;Trump;positive1
It was the establishment and never-Trumpers against the America-first Trumpkins.;never-Trumpers;America-first Trumpkins;negative2
According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.;Emin Agalarov;Murtaza Akbar;neutral2
